"Date","Daily Sterling overnight index average (SONIA) rate              [a] [b]             IUDSOIA"
"16 Apr 26","3.7301"
"15 Apr 26","3.7301"
"14 Apr 26","3.7293"
"13 Apr 26","3.729"
"10 Apr 26","3.7295"
"09 Apr 26","3.7294"
"08 Apr 26","3.7287"
"07 Apr 26","3.7294"
"02 Apr 26","3.73"
"01 Apr 26","3.7297"
"31 Mar 26","3.7296"
"30 Mar 26","3.7281"
"27 Mar 26","3.7284"
"26 Mar 26","3.7282"
"25 Mar 26","3.7278"
"24 Mar 26","3.7274"
"23 Mar 26","3.7274"
"20 Mar 26","3.7281"
"19 Mar 26","3.7294"
"18 Mar 26","3.7296"
"17 Mar 26","3.729"
"16 Mar 26","3.7289"
"13 Mar 26","3.7295"
"12 Mar 26","3.7293"
"11 Mar 26","3.7295"
"10 Mar 26","3.7294"
"09 Mar 26","3.7296"
"06 Mar 26","3.7302"
"05 Mar 26","3.7303"
"04 Mar 26","3.7301"
"03 Mar 26","3.7286"
"02 Mar 26","3.7271"
"27 Feb 26","3.7267"
"26 Feb 26","3.7286"
"25 Feb 26","3.7276"
"24 Feb 26","3.7278"
"23 Feb 26","3.728"
"20 Feb 26","3.7282"
"19 Feb 26","3.7276"
"18 Feb 26","3.7277"
"17 Feb 26","3.7276"
"16 Feb 26","3.7276"
"13 Feb 26","3.7267"
"12 Feb 26","3.7272"
"11 Feb 26","3.7274"
"10 Feb 26","3.727"
"09 Feb 26","3.7271"
"06 Feb 26","3.7279"
"05 Feb 26","3.7278"
"04 Feb 26","3.7265"
"03 Feb 26","3.726"
"02 Feb 26","3.726"
"30 Jan 26","3.7254"
"29 Jan 26","3.7247"
"28 Jan 26","3.7248"
"27 Jan 26","3.7256"
"26 Jan 26","3.7259"
"23 Jan 26","3.7265"
"22 Jan 26","3.726"
"21 Jan 26","3.7246"
"20 Jan 26","3.7241"
"19 Jan 26","3.7244"
"16 Jan 26","3.7243"
"15 Jan 26","3.7239"
"14 Jan 26","3.7248"
"13 Jan 26","3.725"
"12 Jan 26","3.7246"
"09 Jan 26","3.7246"
"08 Jan 26","3.7249"
"07 Jan 26","3.7248"
"06 Jan 26","3.7245"
"05 Jan 26","3.7251"
"02 Jan 26","3.7263"
"31 Dec 25","3.7257"
"30 Dec 25","3.7254"
"29 Dec 25","3.7251"
"24 Dec 25","3.725"
"23 Dec 25","3.7248"
"22 Dec 25","3.7231"
"19 Dec 25","3.7236"
"18 Dec 25","3.7264"
"17 Dec 25","3.9749"
"16 Dec 25","3.9748"
"15 Dec 25","3.9746"
"12 Dec 25","3.9743"
"11 Dec 25","3.975"
"10 Dec 25","3.9743"
"09 Dec 25","3.9749"
"08 Dec 25","3.974"
"05 Dec 25","3.9741"
"04 Dec 25","3.9732"
"03 Dec 25","3.9716"
"02 Dec 25","3.9713"
"01 Dec 25","3.9702"
"28 Nov 25","3.9693"
"27 Nov 25","3.9688"
"26 Nov 25","3.969"
"25 Nov 25","3.9688"
"24 Nov 25","3.9688"
"21 Nov 25","3.969"
"20 Nov 25","3.969"
"19 Nov 25","3.9693"
"18 Nov 25","3.9694"
"17 Nov 25","3.9692"
"14 Nov 25","3.9694"
"13 Nov 25","3.9698"
"12 Nov 25","3.9692"
"11 Nov 25","3.9694"
"10 Nov 25","3.9694"
"07 Nov 25","3.9697"
"06 Nov 25","3.9693"
"05 Nov 25","3.9694"
"04 Nov 25","3.9694"
"03 Nov 25","3.9694"
"31 Oct 25","3.9689"
"30 Oct 25","3.9693"
