alpha_r,alpha_m,alpha_l,sigma_m,sigma_l,rho,mu,M_factor_error,L_factor_error,true_mu,mu_error
1.0547,0.6358,0.0165,0.010920000000000001,0.009640000000000001,0.212,0.02638749465436575,-1.8971137452480992e-10,3.987090287041986e-10,0.026387499999999998,-5.34563424775536e-09
1.0547,0.6358,0.0165,0.010920000000000001,0.009640000000000001,0.212,0.05277499638280149,-1.2837088798501773e-10,2.6979207304889403e-10,0.052774999999999996,-3.6171985060007295e-09
1.0547,0.6358,0.0165,0.010920000000000001,0.009640000000000001,0.212,0.07916249597787232,-1.427414405894391e-10,2.9999409048340656e-10,0.0791625,-4.022127672587139e-09
1.0547,0.6358,0.0165,0.010920000000000001,0.009640000000000001,0.212,0.13193749746324437,-9.002703463614758e-11,1.8920623880378887e-10,0.13193749999999999,-2.536755611126651e-09
1.0547,0.6358,0.0165,0.010920000000000001,0.009640000000000001,0.212,0.1583250002392134,8.489403563229543e-12,-1.784195103234539e-11,0.158325,2.392133990891665e-10
